연도,순위,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
2026,1,KT,0.285,69,2794,2403,387,684,115,12,47,964,362,38,15,304,5,34,515,56,0.401,0.371,0.772,69,0.288,0.291
2026,2,NC,0.279,68,2677,2313,346,645,112,2,62,947,325,29,21,244,8,70,509,56,0.409,0.362,0.771,68,0.276,0.254
2026,3,한화,0.273,69,2808,2433,408,665,110,12,75,1024,380,39,19,277,8,40,544,51,0.421,0.355,0.776,68,0.277,0.156
2026,4,삼성,0.271,69,2779,2366,373,642,106,15,63,967,358,24,26,321,10,42,470,51,0.409,0.365,0.774,69,0.27,0.218
2026,5,LG,0.27,70,2739,2332,357,630,99,7,58,917,345,40,28,295,10,44,503,51,0.393,0.359,0.752,70,0.288,0.245
2026,6,두산,0.264,71,2762,2416,321,638,104,19,52,936,297,34,33,236,3,43,492,51,0.387,0.336,0.723,71,0.246,0.254
2026,7,KIA,0.263,71,2755,2406,357,633,119,5,83,1011,342,33,18,266,10,32,539,58,0.42,0.342,0.762,71,0.265,0.233
2026,8,SSG,0.261,70,2764,2394,359,626,111,10,76,985,339,23,29,285,8,33,521,50,0.411,0.344,0.755,70,0.284,0.282
2026,9,롯데,0.259,69,2679,2409,297,623,110,10,53,912,281,12,23,211,9,24,512,44,0.379,0.322,0.701,68,0.25,0.213
2026,10,키움,0.232,72,2748,2412,243,560,99,5,40,789,225,30,13,251,5,42,627,45,0.327,0.314,0.641,71,0.222,0.239
